Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink
1,Cap 50V 0.1uF 10% 0805,C_0.1uF,C1 C4 C5,C_0.1uF,C_0805_OEM,3,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-3352-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=478-3352-1-ND
2,Cap 50V 100pF 5% 0805,C_100pF,C2,C_100pF,C_0805_OEM,1,https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf,Value,399-1122-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397
3,Unpolarized capacitor,C_22uF,C3,C_22uF,C_1206_OEM,1,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2017/07/28/S_CL31A226KOCLFNC.pdf,Value,1276-2725-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=1276-2725-1-ND
4,Cap 50V 30pF 5% 0805,C_30pF,C7 C8,C_30pF,C_0805_OEM,2,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,Value,1276-1130-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216
5,CAP CER 47UF 6.3V X5R 0805,C_47uF,C6,C_47uF,C_0805_OEM,1,http://www.yuden.co.jp/productdata/catalog/en/mlcc_all_e.pdf,Value,587-4280-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/taiyo-yuden/JMK212BBJ476MG-T/587-4280-1-ND/5344315
6,DIODE ZENER 18V 5W DO214AA,D_Zener_18V,D1,D_Zener_18V,DO-214AA,1,http://www.mccsemi.com/up_pdf/SMBJ5338B-SMBJ5388B(SMB).pdf,DO-214AA (SMB),SMBJ5355B-TPMSCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SMBJ5355B-TPMSCT-ND
7,LED_0805,LED_0805,D2 D3 D4 D5,LED_0805,LED_0805_OEM,4,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,Value,475-1410-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=475-1410-1-ND
8,PTC Fuse 16V 500mA,F_500mA_16V,F1,F_500mA_16V,Fuse_1210,1,https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf,Value,507-1786-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCH0050FF2G/507-1786-1-ND/4156209
9,"TQFP32, 16k Flash, 1k SRAM, 512B EEPROM, CAN",ATMEGA16M1,IC1,ATMEGA16M1,TQFP-32_7x7mm_Pitch0.8mm,1,http://www.atmel.com/Images/Atmel-8209-8-bit%20AVR%20ATmega16M1-32M1-64M1_Datasheet.pdf,Value,ATMEGA16M1-AU-ND,Digi-Key,https://www.digikey.com/product-detail/en/atmel/ATMEGA16M1-AU/ATMEGA16M1-AU-ND/2271208
10,connector micromatch female RA 12,micromatch_female_RA_12,J2,micromatch_female_RA_12,micromatch_female_ra_12,1,,Value,A99486CT-ND,Digi-Key,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/1-338070-2/A99486CT-ND/1955788
